54,What is the primary definition of a vulnerability in the context of cybersecurity?,A tool used by attackers to gain unauthorized access.,A weakness that can be exploited by an attacker to perform unauthorized actions.,A security protocol designed to protect systems from threats.,A method for ranking the severity of cyberattacks.,B
55,What is the purpose of the Common Vulnerability Scoring System (CVSS)?,To provide a list of publicly known vulnerabilities and their exposures.,"To offer a free, open-to-public reference for cybersecurity threats.",To define a method for scoring software vulnerabilities and their severity.,To manage the U.S. government's repository of vulnerability management data.,C
56,Which of the following is described as a community-developed list of software and hardware weakness types that serves as a common language for security tools and a baseline for weakness identification and mitigation efforts?,National Vulnerability Database (NVD),Security Content Automation Protocol (SCAP),Common Weakness Enumeration (CWE),Common Vulnerabilities and Exposures (CVE),C
57,Which of the following is NOT listed as a category of system vulnerabilities in the provided text?,Missing patches,Network configuration flaws,Default passwords,Application flaws,B
58,Which type of vulnerability assessment solution is owned and operated by a third party on behalf of an organization?,Product-based solution,Service-based solution,Internal assessment,Automated assessment,B
59,Which of the following vulnerability management tools is mentioned in the text?,Metasploit,Nessus,Wireshark,Aircrack-ng,B
60,What did Hacker Joe target to exploit?,"A system with a known, unpatched software flaw.",A company prioritizing security over usability and functionality.,A company with a tight budget and good business.,A system with a zero-day vulnerability that the developer was unaware of.,D
61,What is the primary goal of an incident response team when an attack is detected?,To immediately identify and exploit vulnerabilities for future attacks.,"To analyze the exploitation, contain the attack, eradicate backdoors, and coordinate recovery.",To only focus on retrieving lost data without addressing the initial breach.,To directly report the incident to management before any analysis takes place.,B
62,Which of the following is NOT identified as a phase in the risk management process by EC-Council?,Risk Identification,Risk Assessment,Risk Diversification,Risk Treatment,C
63,Which type of security control is designed to prevent errors or incidents from occurring in the first place?,Detective controls,Corrective controls,Preventive controls,Administrative controls,C
64,Which of the following represents the correct calculation for Annualized Loss Expectancy (ALE)?,ALE = Single Loss Expectancy (SLE) / Annualized Rate of Occurrence (ARO),ALE = Annualized Rate of Occurrence (ARO) * Exposure Factor (EF),ALE = Annualized Rate of Occurrence (ARO) * Single Loss Expectancy (SLE),ALE = Exposure Factor (EF) * Single Loss Expectancy (SLE),C
65,"Which of the following is described as a process of tracking user behaviors and extrapolating them in light of malicious activity, attacks, and frauds?",Vulnerability Assessment,Risk Management,User Behavior Analytics (UBA),Intrusion Detection Systems (IDS),C
66,"Which of the following is considered a cornerstone of IT security, often referred to as the ""holy trinity""?","Authentication, Authorization, Accounting","Confidentiality, Integrity, Availability","Encryption, Hashing, Digital Signatures","Firewalls, Intrusion Detection, Antivirus",B
67,Which of the following is considered an authentication attack according to the text?,Gaining unauthorized access with a stolen user ID and password.,Using a MAC address spoof.,Experiencing a major data breach.,Losing millions of PII records to hackers.,B
68,"Which cybersecurity principle ensures that information is protected from unauthorized alteration or revision, meaning the data sent from the sender arrives at the recipient without changes?",Confidentiality,Availability,Integrity,Authenticity,C
69,"Which of the following tactics significantly contributed to security breaches in 2020, as mentioned in the text?","The widespread use of strong, complex passwords by all users.",Third-party software vulnerabilities in internal applications.,Successful phishing and social engineering attacks.,The predictable nature of zero-day attacks.,C
70,What is a characteristic of a hash function that makes it useful for detecting modifications during message transmission?,It encrypts the message to make it unreadable to unauthorized parties.,It produces a significantly different output value even with minor changes to the input data.,It guarantees that the message will always be delivered to the recipient.,It allows the recipient to directly modify the original message if errors are detected.,B
71,Which type of cyberattack aims to prevent legitimate users from accessing a computer resource or service?,Man-in-the-middle attack,Denial-of-service (DoS) attack,SQL injection,Phishing attack,B
72,What was the purpose of the Trusted Computer System Evaluation Criteria (TCSEC)?,To provide a framework for vendors to make claims about their security.,To set basic requirements for testing the effectiveness of computer security controls.,To develop new encryption algorithms for government data.,To establish guidelines for ethical hacking practices.,B
73,Which of the following is a documentation describing the Target of Evaluation (TOE) and its security requirements?,Evaluation Assurance Level (EAL),Protection Profile (PP),Security Target (ST),Common Criteria,C
74,"In Mandatory Access Control (MAC), who is primarily responsible for defining and enforcing the security policy that governs resource access?",Individual users of the system,The operating system kernel,A security administrator,The entities attempting to access resources,C
75,What is the primary purpose of a security policy within a business?,To detail the specific memorization techniques for certification tests.,To outline the security controls implemented to achieve a specific business goal.,To dictate the exact hardware and software configurations for all systems.,To provide a template for creating complex IT infrastructure diagrams.,B
76,"Which type of security policy specifically outlines requirements for password length, complexity, age, and reuse within an organization?",Information audit policy,E-mail policy,Information protection policy,Password policy,D
77,"Which term describes flexible, recommended actions to take when no standard is available?",Standards,Baselines,Guidelines,Procedures,C
78,"Which term describes an individual with no formal hacking education who relies on pre-existing, often outdated, tools and techniques found online?",Phreaker,Script Kiddie,Hacker,Cybercriminal,B
79,What is the primary characteristic that defines 'White hats' in the hacking community?,They illegally use their skills for personal gain or malicious intent.,They are primarily driven by curiosity about hacking tools and techniques.,They are ethical hackers hired to test and improve security with prior consent.,"They demonstrate security flaws without permission, believing it's their duty.",C
80,Which term describes hackers motivated by religious or political beliefs to instill fear and disrupt large-scale systems?,Script kiddie,Hacktivist,Cyberterrorist,Suicide hacker,C
81,Which category of attacks targets vulnerabilities in the programming code and software logic of an application?,Operating system (OS) attacks,Application-level attacks,Shrink-wrap code attacks,Default configuration attacks,B
82,"Which type of attack exploits systems that are intentionally or unintentionally set up with inadequate security configurations, often by administrators prioritizing ease of use over robust security measures?",Shrink-wrapped code attacks,Misconfiguration attacks,Offensive technique attacks,Defensive technique attacks,B
83,"According to EC-Council's definition, which of the following is NOT one of the standard hacking phases?",Reconnaissance,Gaining Access,Data Encryption,Covering Tracks,C
84,Which phase of ethical hacking involves gathering information about targets without their direct knowledge?,Scanning and enumeration,Maintaining access,Reconnaissance,Escalation of privileges,C
85,What is the primary objective of the 'gaining access' phase in cybersecurity assessments?,To gather passive information about potential targets.,To identify open ports and running services on target systems.,To actively exploit vulnerabilities and bypass security controls.,To ensure persistent access to compromised systems.,C
86,"In the 'maintaining access' phase of hacking, what is a common tactic used by attackers to ensure future entry into a compromised system?",Deleting all log files to prevent detection.,Installing rootkits or Trojans to create backdoors.,Immediately launching further attacks from the compromised machine.,Performing extensive scanning and enumeration of the network.,B
87,"Which of the following actions, when performed by an attacker attempting to conceal their presence, would be considered the most subtle in relation to log files?",Completely clearing the log file.,Corrupting the log file.,Deleting the log file.,Creating hidden files and directories.,B
88,What is a key characteristic of how ethical hackers perform penetration tests?,They randomly assault targets to find any vulnerability.,They focus on finding the quickest and simplest path to exploit a system.,"They follow a specific, organized method to discover vulnerabilities.",Their primary role is to repair and patch the security vulnerabilities they find.,C
89,"What is the term used to describe the specific patterns of actions, behaviors, and methods that attackers use, serving as a ""fingerprint"" for their activities?",Adversary behavioral identification,Cyber Kill Chain® framework,Intelligence Driven Defense® model,"Tactics, Techniques, and Procedures (TTPs)",D
90,"Which category of Indicators of Compromise (IOCs) includes specific filenames, hashes, and registry keys?",E-mail indicators,Network indicators,Host-based indicators,Behavioral indicators,C
91,"What is a key distinguishing factor that defines a hacker as ""ethical""?",Using advanced and complex hacking tools that only trained professionals can operate.,Operating with the explicit permission and written consent of the customer before taking any action.,Possessing deep knowledge of system vulnerabilities without ever exploiting them.,Focusing solely on improving network infrastructure without interacting with data.,B
92,What is a crucial component of the agreement between an ethical hacker and a client before any security testing commences?,An informal conversation and handshake,"A detailed, documented plan outlining permission, confidentiality, and scope",A verbal agreement to disclose all findings immediately,A guarantee of unrestricted access to all network systems,B
93,"What can increase the likelihood of a pen tester being allowed to test an organization's internal, super-critical systems?",The system being considered 'too secure to test'.,The criticality of the resource being tested.,A gradual increase in trust between the pen tester and the organization.,The pen tester being part of a 'tiger team'.,C
94,Which of the following is one of the three major phases of a penetration test?,Reconnaissance,Assessment,Exploitation,Post-Exploitation,B
95,Which phase of a penetration test involves the actual execution of attacks against security controls?,Preparation phase,Assessment phase,Conclusion phase,Discovery phase,B
96,Which type of penetration testing simulates an attack from a disgruntled network administrator or other trusted internal user by providing testers with full knowledge of the target environment?,Black-box testing,Gray-box testing,White-box testing,External testing,C
97,Which of the following US federal laws is mentioned as an example of legislation relevant to IT security and ethical hacking?,The Affordable Care Act,The Federal Information Security Modernization Act (FISMA),The Clean Air Act,The Dodd-Frank Wall Street Reform and Consumer Protection Act,B
98,"In legal contexts, claiming ignorance of a law is not a valid defense because it would allow individuals to avoid accountability, and therefore, citizens are presumed to have a duty to know which laws pertain to them.",This statement implies that only criminal laws are relevant to citizens.,The text suggests that ignorance of the law is always an acceptable excuse if the law is complex.,"The passage implies that citizens have a responsibility to be aware of laws that affect them, and ignorance can be either intentional or unintentional.",The provided text argues that legal systems should be simplified to eliminate the need for citizens to know the law.,C
99,What is a crucial element for a law to be considered valid and enforceable according to legal principles mentioned in the text?,It must be widely publicized and accessible to the public.,It must be complex enough to challenge the average citizen's understanding.,It must be created by a consensus of citizens rather than lawmakers.,It must be enforced by regulatory officials who are themselves experts.,A
100,"Which U.S. act was developed to establish privacy standards for medical information, protecting patient records shared among healthcare providers and insurers?",Sarbanes-Oxley (SOX) Act,Health Insurance Portability and Accountability Act (HIPAA),Electronic Transactions and Code Sets Act,National Identifier Requirements Act,B
101,"Which security standard is specifically designed for organizations that handle credit cards, ATM cards, and other point-of-sales cards?",SOX,OSSTMM,PCI DSS,ISO/IEC 27001:2018,C
102,"Which security standard provides requirements for establishing, maintaining, and enhancing an organization's information security (IS) systems?",COBIT,Criminal Law,ISO/IEC 27001:2018,Civil Law,C
103,Which type of law is based on societal customs and enforced through court judgments?,Civil law,Criminal law,Common law,Information security law,C
104,"What is the primary function of Internet Service Providers (ISPs) as described in the text, despite potential misuse of their networks?",To actively monitor and control the content of all data transmitted.,To ensure the rapid and efficient movement of data from one point to another.,To act as common carriers responsible for the security of all transmitted information.,To block any transmission suspected of containing illegal material.,B
105,Which piece of legislation provided liability protection for Internet Service Providers (ISPs) regarding copyright infringements?,The Communications Decency Act,The Digital Millennium Copyright Act (DMCA),The Patriot Act,The Computer Fraud and Abuse Act,B
106,"According to the defined zones by ECC, which zone is considered a controlled, buffer network between the organization and the uncontrolled Internet?",Production network zone,Intranet zone,Internet DMZ,Management network zone,C
107,What are the three core components of the security triad?,"Security, Functionality, and Usability","Confidentiality, Integrity, and Availability","Preventive, Detective, and Corrective","SYN, SYN/ACK, and ACK",B
108,Which component of the security triad refers to the measures taken to prevent the disclosure of information or data to unauthorized individuals or systems?,Integrity,Availability,Confidentiality,Exposure Factor,C
109,"Which type of hacker operates with curiosity or a perceived duty to expose security flaws, regardless of explicit permission?",Black hat hackers,White hat hackers,Gray hat hackers,Hacktivists,C
110,Which phase of hacking involves concealing successful intrusions and avoiding detection?,Reconnaissance,Gaining Access,Covering Tracks,Maintaining Access,C
111,"Which of the following acts was established to enhance the accuracy and reliability of corporate disclosures, thereby safeguarding the public and investors from fraudulent practices?",Health Insurance Portability and Accountability Act (HIPAA),Payment Card Industry Data Security Standard (PCI DSS),Sarbanes-Oxley (SOX) Act,Cyber Intelligence Sharing and Protection Act (CISPA),C
112,Which of the following is a key security requirement focused on restricting access to data based on the principle of necessity?,Encrypt transmission of cardholder data.,Use “need to know” as a guideline to restrict access to data.,Test security procedures and systems regularly.,"Install, use, and update antivirus.",B
113,"What distinguishes an ethical hacker from a ""cracker""?",A cracker always attempts white-box testing.,An ethical hacker always attempts black-box testing.,The cracker posts results to the Internet.,The ethical hacker always obtains written permission before testing.,D
114,"What type of hacker is Joe considered to be, given that he plants viruses and destroys data on the network before being laid off, with no regard to being caught?",Hacktivist,Suicide hacker,Black hat,Script kiddie,B
115,Which of the following is a security principle that ensures data remains unaltered?,Confidentiality,Availability,Integrity,Authenticity,C
116,Which phase of an ethical hack attempt involves actively using tools and techniques to gather more in-depth information based on reconnaissance data?,Reconnaissance,Scanning and enumeration,Vulnerability assessment,Penetration testing,B
117,Which of the following activities is identified as a method for information gathering by an ethical hacker?,Performing a Business Impact Analysis (BIA),Developing a continuity plan,Using Google hacking,Identifying critical systems,C
118,"In cybersecurity, what is the primary goal of gathering information about a target before initiating an attack?",To deploy malware and viruses.,To understand the target's vulnerabilities and movement.,To secure user credentials through social engineering.,To encrypt sensitive data for protection.,B
119,"During the footprinting stage, what type of information is considered most critical to gather about an organization?",Technical details about routers and server purchases,The types of entry control systems in place,Information about critical business functions and sensitive data,Daily routines of employees,C
120,Which of the following is a primary benefit of footprinting for an ethical hacker?,To deliberately mislead investigators by planting false evidence.,To anonymously gain access to sensitive corporate databases.,To understand and clearly define the security posture of a target.,To create fake online identities to frame other individuals.,C
121,Which of the following is a primary method for gathering information during the initial stages of a hacking process?,Analyzing captured network traffic in real-time.,Performing active and passive footprinting.,Exploiting identified software vulnerabilities.,Developing custom malware for system infiltration.,B
122,Which of the following activities is classified as active footprinting?,Browsing websites for publicly available information.,Looking up public records related to a target.,Communicating with employees to gather social engineering information.,Scanning an IP address found on a network.,D
123,"According to the text, what does the term 'passive' in cybersecurity generally denote?",Active participation and engagement with the target.,An action that is covert and undetectable.,"Inactivity, non-participation, and refusal to react to aggression.",A proactive approach to gathering information.,C
124,Which of the following is a method of passive footprinting?,Performing a direct attack on a company's servers.,Gaining access to a company's internal network.,Analyzing publicly available information from search engines and social media.,Engaging in a brute-force password attack.,C
125,"Which of the following is a common type of open-source information that companies often make available on their websites, which can be useful for ethical hackers?",Internal employee contact details,Confidential financial projections,Technical information about network capabilities,Private customer databases,C
126,"Which of the following is an example of active footprinting, according to the text?",Analyzing publicly available DNS records without detection.,Scraping website traffic statistics from Alexa.com.,Directly interacting with an employee to gather information about the organization's infrastructure.,Reviewing a company's online reputation and news releases on Google Finance.,C
127,Which of the following activities is considered an active footprinting method in the context of social engineering?,Dumpster diving,Interviewing an employee face-to-face,Analyzing publicly available company reports,Monitoring network traffic passively,B
128,"According to the text, what is a key aspect of the ECC exam's focus regarding cybersecurity tools and methods?",Memorizing definitions and terms.,Understanding the practical application and use of the tools.,Focusing on the theoretical underpinnings of each technique.,Prioritizing the history and development of cybersecurity tools.,B
129,"Which online platforms are mentioned as useful for finding information about companies and their employees, potentially including residential addresses and phone numbers?",YouTube and Google Maps,Netcraft and Bing Maps,LinkedIn and Pipl,Firefox and Chrome,C
130,Which of the following is identified as a valuable source of information for understanding a company's technical infrastructure?,Netcraft's toolbar add-on for browsers,Company financial reports,Job boards and career pages,Publicly available user manuals,C
131,What kind of clause in a test agreement can absolve an ethical hacker from unintentional problems arising from their activities?,A clause stating that all actions taken by the target are beyond the hacker's control.,A clause explicitly mentioning the deletion or modification of sensitive data.,A clause that guarantees the tools used are always passive and non-exploitative.,A clause that requires the client to acknowledge the possibility of data destruction.,A
132,What legal implication does the Computer Fraud and Abuse Act (1986) address regarding hacking?,It makes the development of hacking tools a crime.,It classifies conspiracy to commit hacking as a criminal offense.,It prohibits the use of social networking sites for information gathering.,It mandates that all hacking activities must be reported to authorities.,B
133,What is the primary technique used in Google hacking?,Exploiting browser vulnerabilities,Manipulating search strings with advanced operators,Developing custom scripts for network scanning,Reverse engineering software applications,B
134,Which Google search operator can be used to find web pages with a specific string in their URL?,filetype:,intitle:,inurl:,index of,C
135,Which Google search operator is used to display pages containing a specific string within their URL?,allintitle,link,inurl,site,C
136,"What kind of unsecured protocol is often used by VoIP systems to pull configuration files, presenting an interesting opportunity for exploitation?",Secure Shell (SSH),Trivial File Transfer Protocol (TFTP),Hypertext Transfer Protocol Secure (HTTPS),File Transfer Protocol (FTP),B
137,Google employs CAPTCHAs to prevent users from exploiting the search engine for what purpose?,Accessing personal information,Performing malicious activities,Circumventing search result policies,Discovering forbidden content,B
138,"In the context of digital applications and websites, what is an ""Easter egg"" primarily defined as?",A hidden bug that developers deliberately leave in code.,A security vulnerability exploited for unauthorized access.,An intentionally placed hidden feature or message for amusement.,A method for tracking user activity without their knowledge.,C
139,"Which search engine is described as indexing virtually everything connected to the internet, including routers, servers, baby monitors, and traffic lights?",Google,Shodan,Bing,DuckDuckGo,B
140,"Which search engine is mentioned as a tool for finding devices and related information, allowing users to narrow down searches using filters like 'city:' and 'country:'?",Google,Shodan,Bing,DuckDuckGo,B
141,Which of the following tools can be used to obtain web server information such as headers and cookies?,Shodan,Burp Suite,Nmap,Wireshark,B
142,What is a primary benefit of web mirroring in the context of cybersecurity analysis?,It allows for real-time interaction with a live website to test its current security.,It enables a user to analyze a website's structure and potential vulnerabilities without altering the target organization.,It is primarily used to download software for security testing from a remote server.,It automatically identifies and patches all known vulnerabilities on a targeted website.,B
143,Which of the following can provide IP address and physical location information about a recipient through communication?,WebSite-Watcher,Email communication,DNS Footprinting,ContactMonkey,B
144,What fundamental service does DNS provide that allows users to access resources using names instead of numerical addresses?,It translates IP addresses into domain names.,It maps domain names to IP addresses and vice versa.,It routes network traffic based on domain names.,It authenticates users based on their domain name.,B
145,What port number is specifically associated with DNS in network communications?,20,53,80,443,B
146,Which DNS record type is primarily used to map an IP address to a hostname for reverse DNS lookups and is often associated with email server records?,CNAME Canonical Name,MX Mail Exchange,PTR Pointer,SRV Service,C
147,Which type of DNS server is responsible for maintaining and managing all DNS records for a namespace?,Name Resolver,Authoritative Server,Mail Server,Web Server,B
148,What is the process called where an attacker modifies the cache on a local DNS server to redirect users to a malicious server?,IP Spoofing,DNS Poisoning,Phishing,DDoS Attack,B
149,What is a primary function of DNSSEC?,To speed up DNS query responses.,To prevent governments from impersonating websites.,To digitally sign DNS data for authenticity and integrity.,To restrict the time records can stay in cache.,C
150,Which DNS parameter determines the maximum time a secondary server will spend attempting to complete a zone transfer?,Refresh time,Retry time,Expire time,TTL,C
151,Which file does the operating system check locally for URL resolution after checking for the host's own name?,LMHOSTS file,WINS file,HOSTS file,DNS cache,C
