index,question,ground_truth,model_answer_raw,model_answer_parsed,is_correct
31,"_________ is a tool that can hide processes from the process list, can hide files, registry entries, and intercept
keystrokes.
A.  Trojan
B.  RootKit
C.  DoS tool
D.  Scanner
E.  Backdoor
",B,D,D,False
32,"Nathan is testing some of his network devices. Nathan is using Macof to try and flood the ARP cache of these
switches.
If these switches' ARP cache is successfully flooded, what will be the result?
A.  The switches will drop into hub mode if the ARP cache is successfully flooded.
B.  If the ARP cache is flooded, the switches will drop into pix mode making it less susceptible to attacks.
C.  Depending on the switch manufacturer, the device will either delete every entry in its ARP cache or reroute packets to the nearest switch.
D.  The switches will route all traffic to the broadcast address created collisions.
",A,The correct answer is A,N/A,False
33,"what firewall evasion scanning technique make use of a zombie system that has low network activity as well
as its fragment identification numbers?
A.  Decoy scanning
B.  Packet fragmentation scanning
C.  Spoof source address scanning
D.  Idle scanning
",D,A. Decoy scanning,A,False
34,"Gilbert, a web developer, uses a centralized web API to reduce complexity and increase the Integrity of
updating and changing data. For this purpose, he uses a web service that uses HTTP methods such as PUT.
POST. GET. and DELETE and can improve the overall performance, visibility, scalability, reliability, and
portability of an application. What is the type of web-service API mentioned in the above scenario?
A.  JSON-RPC
B.  SOAP API
C.  RESTful API
D.  REST API
",C,B,B,False
35,"What is the BEST alternative if you discover that a rootkit has been installed on one of your computers?
A.  Copy the system files from a known good system
B.  Perform a trap and trace
C.  Delete the files and try to determine the source
D.  Reload from a previous backup
E.  Reload from known good media
",E,A is the correct answer,A,False
36,"Annie, a cloud security engineer, uses the Docker architecture to employ a client/server model in the
application she is working on. She utilizes a component that can process API requests and handle various
Docker objects, such as containers, volumes. Images, and networks. What is the component of the Docker
architecture used by Annie in the above scenario?
A.  Docker client
B.  Docker objects
C.  Docker daemon
D.  Docker registries
",C,A.  Docker client,A,False
37,"Widespread fraud ac Enron. WorldCom, and Tyco led to the creation of a law that was designed to improve
the accuracy and accountability of corporate disclosures. It covers accounting firms and third parties that
provide financial services to some organizations and came into effect in 2002. This law is known by what
acronym?
A.  Fed RAMP
B.  PCIDSS
C.  SOX
D.  HIPAA
",C,"Explanation:

This law is",E,False
38,"Jim, a professional hacker, targeted an organization that is operating critical Industrial Infrastructure. Jim used
Nmap to scan open pons and running services on systems connected to the organization's OT network. He
used an Nmap command to identify Ethernet/IP devices connected to the Internet and further gathered
Information such as the vendor name, product code and name, device name, and IP address. Which of the
following Nmap commands helped Jim retrieve the required information?
A.  nmap -Pn -sT --scan-delay 1s --max-parallelism 1 -p < Port List > < Target IP >
B.  nmap -Pn -sU -p 44818 --script enip-info < Target IP >
C.  nmap -Pn -sT -p 46824 < Target IP >
D.  nmap -Pn -sT -p 102 --script s7-info < Target IP >
",B,"Jim, a professional hacker",N/A,False
39,"Abel, a security professional, conducts penetration testing in his client organization to check for any security
loopholes. He launched an attack on the DHCP servers by broadcasting forged DHCP requests and leased all
the DHCP addresses available in the DHCP scope until the server could not issue any more IP addresses. This
led to a Dos attack, and as a result, legitimate employees were unable to access the clients network. Which of
the following attacks did Abel perform in the above scenario?
A.  VLAN hopping
B.  DHCP starvation
C.  Rogue DHCP server attack
D.  STP attack
",B,A.  VLAN hopping,A,False
40,"""Testing the network using the same methodologies and tools employed by attackers""

Identify the correct terminology that defines the above statement.
A.  Vulnerability Scanning
B.  Penetration Testing
C.  Security Policy Implementation
D.  Designing Network Security
",B,"A
Vulnerability",A,False
41,"in the Common Vulnerability Scoring System (CVSS) v3.1 severity ratings, what range does medium
vulnerability fall in?
A.  3.0-6.9
B.  40-6.0
C.  4.0-6.9
D.  3.9-6.9
",C,C. 4.,C,True
42,"In the field of cryptanalysis, what is meant by a ?rubber-hose"" attack?
A.  Attempting to decrypt cipher text by making logical assumptions about the contents of the original plaintext.
B.  Extraction of cryptographic secrets through coercion or torture.
C.  Forcing the targeted key stream through a hardware-accelerated device such as an ASIC.
D.  A backdoor placed into a cryptographic algorithm by its creator.
",B,"A

The correct answer",A,False
43,"The network team has well-established procedures to follow for creating new rules on the firewall. This
includes having approval from a manager prior to implementing any new rules. While reviewing the firewall
configuration, you notice a recently implemented rule but cannot locate manager approval for it. What would
be a good step to have in the procedures for a situation like this?
A.  Have the network team document the reason why the rule was implemented without prior manager approval.
B.  Monitor all traffic using the firewall rule until a manager can approve it.
C.  Do not roll back the firewall rule as the business may be relying upon it, but try to get manager approval as soon as possible.
D.  Immediately roll back the firewall rule until a manager can approve it
",D,A.  Having the,A,False
44,"Susan, a software developer, wants her web API to update other applications with the latest information. For
this purpose, she uses a user-defined HTTP tailback or push APIs that are raised based on trigger events: when
invoked, this feature supplies data to other applications so that users can instantly receive real-time
Information.
Which of the following techniques is employed by Susan?
A.  web shells
B.  Webhooks
C.  REST API
D.  SOAP API
",B,C. REST API,C,False
45,"What is the first step for a hacker conducting a DNS cache poisoning (DNS spoofing) attack against an
organization?
A.  The attacker queries a nameserver using the DNS resolver.
B.  The attacker makes a request to the DNS resolver.
C.  The attacker forges a reply from the DNS resolver.
D.  The attacker uses TCP to poison the ONS resofver.
",B,A.  The attacker,A,False
46,"Ricardo has discovered the username for an application in his targets environment. As he has a limited amount
of time, he decides to attempt to use a list of common passwords he found on the Internet. He compiles them
into a list and then feeds that list as an argument into his password-cracking application, what type of attack is
Ricardo performing?
A.  Known plaintext
B.  Password spraying
C.  Brute force
D.  Dictionary
",D,C. Brute force,C,False
47,"Sam is working as a system administrator In an organization. He captured the principal characteristics of a
vulnerability and produced a numerical score to reflect Its severity using CVSS v3.0 to property assess and
prioritize the organization's vulnerability management processes. The base score that Sam obtained after
performing cvss rating was 4.0. What is the CVSS severity level of the vulnerability discovered by Sam in the
above scenario?
A.  Medium
B.  Low
C.  Critical
D.  High
",A,The correct option is (,N/A,False
48,"How is the public key distributed in an orderly, controlled fashion so that the users can be sure of the sender?s
identity?
A.  Hash value
B.  Private key
C.  Digital signature
D.  Digital certificate
",D,C. Digital signature,C,False
49,"At what stage of the cyber kill chain theory model does data exfiltration occur?
A.  Actions on objectives
B.  Weaponization
C.  installation
D.  Command and control
",A,"A

At what stage",A,True
50,"Steven connected his iPhone to a public computer that had been infected by Clark, an attacker. After
establishing the connection with the public computer, Steven enabled iTunes WI-FI sync on the computer so
that the device could continue communication with that computer even after being physically disconnected.
Now, Clark gains access to Steven?s iPhone through the infected computer and is able to monitor and read all
of Steven?s activity on the iPhone, even after the device is out of the communication zone.
Which of the following attacks is performed by Clark in above scenario?
A.  IOS trustjacking
B.  lOS Jailbreaking
C.  Exploiting SS7 vulnerability
D.  Man-in-the-disk attack
",A,The correct answer is A,N/A,False
51,"During the process of encryption and decryption, what keys are shared?
A.  Private keys
B.  User passwords
C.  Public keys
D.  Public and private keys
",C,A,A,False
52,"Abel, a cloud architect, uses container technology to deploy applications/software including all its
dependencies, such as libraries and configuration files, binaries, and other resources that run independently
from other processes in the cloud environment. For the containerization of applications, he follows the five-tier
container technology architecture. Currently. Abel is verifying and validating image contents, signing images,
and sending them to the registries. Which of the following tiers of the container technology architecture Is
Abel currently working in?
A.  Tier-1: Developer machines
B.  Tier-4: Orchestrators
C.  Tier-3: Registries
D.  Tier-2: Testing and accreditation systems
",D,The correct answer is:,N/A,False
53,"What do Trinoo, TFN2k, WinTrinoo, T-Sight, and Stracheldraht have in common?
A.  All are hacking tools developed by the legion of doom
B.  All are tools that can be used not only by hackers, but also security personnel
C.  All are DDOS tools
D.  All are tools that are only effective against Windows
E.  All are tools that are only effective against Linux
",C,A.  All are,A,False
54,"Larry, a security professional in an organization, has noticed some abnormalities In the user accounts on a web
server. To thwart evolving attacks, he decided to harden the security of the web server by adopting a
countermeasures to secure the accounts on the web server.
Which of the following countermeasures must Larry implement to secure the user accounts on the web server?
A.  Enable unused default user accounts created during the installation of an OS
B.  Enable all non-interactive accounts that should exist but do not require interactive login
C.  Limit the administrator or toot-level access to the minimum number of users
D.  Retain all unused modules and application extensions
",C,The correct answer is D,N/A,False
55,"In order to tailor your tests during a web-application scan, you decide to determine which web-server version
is hosting the application. On using the sV flag with Nmap. you obtain the following response:
80/tcp open http-proxy Apache Server 7.1.6
what Information-gathering technique does this best describe?
A.  WhOiS lookup
B.  Banner grabbing
C.  Dictionary attack
D.  Brute forcing
",B,The correct answer is C,N/A,False
56,"what is the port to block first in case you are suspicious that an loT device has been compromised?
A.  22
B.  443
C.  48101
D.  80
",C,The correct answer is option,N/A,False
57,"A newly joined employee. Janet, has been allocated an existing system used by a previous employee. Before
issuing the system to Janet, it was assessed by Martin, the administrator. Martin found that there were
possibilities of compromise through user directories, registries, and other system parameters. He also
Identified vulnerabilities such as native configuration tables, incorrect registry or file permissions, and
software configuration errors. What is the type of vulnerability assessment performed by Martin?
A.  Credentialed assessment
B.  Database assessment
C.  Host-based assessment
D.  Distributed assessment
",C,"### Solution:
The answer",N/A,False
58,"You are a penetration tester working to test the user awareness of the employees of the client xyz. You
harvested two employees' emails from some public sources and are creating a client-side backdoor to send it to
the employees via email. Which stage of the cyber kill chain are you at?
A.  Reconnaissance
B.  Command and control
C.  Weaponization
D.  Exploitation
",C,A. Reconnaissance,A,False
59,"Which file is a rich target to discover the structure of a website during web-server footprinting?
A.  Document root
B.  Robots.txt
C.  domain.txt
D.  index.html
",B,The file which is a,N/A,False
60,"Morris, a professional hacker, performed a vulnerability scan on a target organization by sniffing the traffic on
the network lo identify the active systems, network services, applications, and vulnerabilities. He also obtained
the list of the users who are currently accessing the network. What is the type of vulnerability assessment that
Morris performed on the target organization?
A.  internal assessment
B.  Passive assessment
C.  External assessment
D.  Credentialed assessment
",B,The correct answer is:,N/A,False
61,"jane, an ethical hacker. Is testing a target organization's web server and website to identity security loopholes.
In this process, she copied the entire website and its content on a local drive to view the complete profile of the
site's directory structure, file structure, external links, images, web pages, and so on. This information helps
jane map the website's directories and gain valuable information. What is the attack technique employed by
Jane in the above scenario?
A.  website mirroring
B.  Session hijacking
C.  Web cache poisoning
D.  Website defacement
",A,A.  website mir,A,True
62,"What information security law or standard aims at protecting stakeholders and the general public from
accounting errors and fraudulent activities within organizations?
A.  PCI-DSS
B.  FISMA
C.  SOX
D.  ISO/I EC 27001:2013
",C,B. FISMA,B,False
63,"CyberTech Inc. recently experienced SQL injection attacks on its official website. The company appointed
Bob, a security professional, to build and incorporate defensive strategies against such attacks. Bob adopted a
practice whereby only a list of entities such as the data type, range, size, and value, which have been approved
for secured access, is accepted. What is the defensive technique employed by Bob in the above scenario?
A.  Output encoding
B.  Enforce least privileges
C.  Whitelist validation
D.  Blacklist validation
",C,"The company appointed Bob,",N/A,False
64,"A security analyst uses Zenmap to perform an ICMP timestamp ping scan to acquire information related to the
current time from the target host machine.
Which of the following Zenmap options must the analyst use to perform the ICMP timestamp ping scan?
A.  -PY
B.  -PU
C.  -PP
D.  -Pn
",C,A.  -PY,A,False
65,"Which of the following antennas is commonly used in communications for a frequency band of 10 MHz to
VHF and UHF?
A.  Yagi antenna
B.  Dipole antenna
C.  Parabolic grid antenna
D.  Omnidirectional antenna
",A,The correct answer is B,N/A,False
66,"Jack, a professional hacker, targets an organization and performs vulnerability scanning on the target web
server to identify any possible weaknesses, vulnerabilities, and misconfigurations. In this process, Jack uses an
automated tool that eases his work and performs vulnerability scanning to find hosts, services, and other
vulnerabilities in the target server. Which of the following tools is used by Jack to perform vulnerability
scanning?
A.  Infoga
B.  WebCopier Pro
C.  Netsparker
D.  NCollector Studio
",C,Netsparker is,N/A,False
67,"in this attack, an adversary tricks a victim into reinstalling an already-in-use key. This is achieved by
manipulating and replaying cryptographic handshake messages. When the victim reinstall the key, associated
parameters such as the incremental transmit packet number and receive packet number are reset to their initial
values. What is this attack called?
A.  Chop chop attack
B.  KRACK
C.  Evil twin
D.  Wardriving
",B,A.  Chop chop,A,False
68,"Which among the following is the best example of the third step (delivery) in the cyber kill chain?
A.  An intruder sends a malicious attachment via email to a target.
B.  An intruder creates malware to be used as a malicious attachment to an email.
C.  An intruder's malware is triggered when a target opens a malicious email attachment.
D.  An intruder's malware is installed on a target's machine.
",A,A.  An intr,A,True
69,"_________ is a type of phishing that targets high-profile executives such as CEOs, CFOs, politicians, and
celebrities who have access to confidential and highly valuable information.
A.  Spear phishing
B.  Whaling
C.  Vishing
D.  Phishing
",B,A. Spear phishing,A,False
70,"Josh has finished scanning a network and has discovered multiple vulnerable services. He knows that several
of these usually have protections against external sources but are frequently susceptible to internal users. He
decides to draft an email, spoof the sender as the internal IT team, and attach a malicious file disguised as a
financial spreadsheet. Before Josh sends the email, he decides to investigate other methods of getting the file
onto the system. For this particular attempt, what was the last stage of the cyber kill chain that Josh
performed?
A.  Exploitation
B.  Weaponization
C.  Delivery
D.  Reconnaissance
",B,B,B,True
71,"Lewis, a professional hacker, targeted the loT cameras and devices used by a target venture-capital firm. He
used an information-gathering tool to collect information about the loT devices connected to a network, open
ports and services, and the attack surface area. Using this tool, he also generated statistical reports on broad
usage patterns and trends. This tool helped Lewis continually monitor every reachable server and device on the
Internet, further allowing him to exploit these devices in the network. Which of the following tools was
employed by Lewis in the above scenario?
A.  Censys
B.  Wapiti
C.  NeuVector
D.  Lacework
",A,Answer: A,A,True
72,"Rebecca, a security professional, wants to authenticate employees who use web services for safe and secure
communication. In this process, she employs a component of the Web Service Architecture, which is an
extension of SOAP, and it can maintain the integrity and confidentiality of SOAP messages.
Which of the following components of the Web Service Architecture is used by Rebecca for securing the
communication?
A.  WSDL
B.  WS Work Processes
C.  WS-Policy
D.  WS-Security
",D,"C
Web services are",C,False
73,"The network users are complaining because their system are slowing down. Further, every time they attempt to
go a website, they receive a series of pop-ups with advertisements. What types of malware have the system
been infected with?
A.  Virus
B.  Spyware
C.  Trojan
D.  Adware
",D,"A. Virus
A",A,False
74,"Geena, a cloud architect, uses a master component in the Kubernetes cluster architecture that scans newly
generated pods and allocates a node to them. This component can also assign nodes based on factors such as
the overall resource requirement, data locality, software/hardware/policy restrictions, and internal workload
interventions.
Which of the following master components is explained in the above scenario?
A.  Kube-controller-manager
B.  Kube-scheduler
C.  Kube-apiserver
D.  Etcd cluster
",B,A.  Kube,A,False
75,"Calvin, a software developer, uses a feature that helps him auto-generate the content of a web page without
manual involvement and is integrated with SSI directives. This leads to a vulnerability in the developed web
application as this feature accepts remote user inputs and uses them on the page. Hackers can exploit this
feature and pass malicious SSI directives as input values to perform malicious activities such as modifying and
erasing server files. What is the type of injection attack Calvin's web application is susceptible to?
A.  Server-side template injection
B.  Server-side JS injection
C.  CRLF injection
D.  Server-side includes injection
",D,A.  Server-side,A,False
76,"In an attempt to damage the reputation of a competitor organization, Hailey, a professional hacker, gathers a
list of employee and client email addresses and other related information by using various search engines,
social networking sites, and web spidering tools. In this process, she also uses an automated tool to gather a
list of words from the target website to further perform a brute-force attack on the previously gathered email
addresses.
What is the tool used by Hailey for gathering a list of words from the target website?
A.  Shadowsocks
B.  CeWL
C.  Psiphon
D.  Orbot
",B,The correct answer is A,N/A,False
77,"On performing a risk assessment, you need to determine the potential impacts when some of the critical
business processes of the company interrupt its service.
What is the name of the process by which you can determine those critical businesses?
A.  Emergency Plan Response (EPR)
B.  Business Impact Analysis (BIA)
C.  Risk Mitigation
D.  Disaster Recovery Planning (DRP)
",B,A. Emergency Plan Response,A,False
78,"You are a penetration tester and are about to perform a scan on a specific server. The agreement that you
signed with the client contains the following specific condition for the scan: ?The attacker must scan every
port on the server several times using a set of spoofed sources IP addresses. ? Suppose that you are using
Nmap to perform this scan. What flag will you use to satisfy this requirement?
A.  The -A flag
B.  The -g flag
C.  The -f flag
D.  The -D flag
",D,The -A flag is,N/A,False
79,"You are a security officer of a company. You had an alert from IDS that indicates that one PC on your Intranet
is connected to a blacklisted IP address (C2 Server) on the Internet. The IP address was blacklisted just before
the alert. You are starting an investigation to roughly analyze the severity of the situation. Which of the
following is appropriate to analyze?
A.  IDS log
B.  Event logs on domain controller
C.  Internet Firewall/Proxy log.
D.  Event logs on the PC
",C,C,C,True
80,"Jack, a disgruntled ex-employee of Incalsol Ltd., decided to inject fileless malware into Incalsol's systems. To
deliver the malware, he used the current employees' email IDs to send fraudulent emails embedded with
malicious links that seem to be legitimate. When a victim employee clicks on the link, they are directed to a
fraudulent website that automatically loads Flash and triggers the exploit. What is the technique used byjack to
launch the fileless malware on the target systems?
A.  In-memory exploits
B.  Phishing
C.  Legitimate applications
D.  Script-based injection
",B,"The answer is C,",N/A,False
81,"George, an employee of an organization, is attempting to access restricted websites from an official computer.
For this purpose, he used an anonymizer that masked his real IP address and ensured complete and continuous
anonymity for all his online activities. Which of the following anonymizers helps George hide his activities?
A.  https://www.baidu.com
B.  https://www.guardster.com
C.  https://www.wolframalpha.com
D.  https://karmadecay.com
",B,B is the correct option,B,True
82,"Which wireless security protocol replaces the personal pre-shared key (PSK) authentication with Simultaneous
Authentication of Equals (SAE) and is therefore resistant to offline dictionary attacks?
A.  WPA3-Personal
B.  WPA2-Enterprise
C.  Bluetooth
D.  ZigBee
",A,A.  WPA,A,True
83,"When you are testing a web application, it is very useful to employ a proxy tool to save every request and
response. You can manually test every request and analyze the response to find vulnerabilities. You can test
parameter and headers manually to get more precise results than if using web vulnerability scanners.
What proxy tool will help you find web vulnerabilities?
A.  Maskgen
B.  Dimitry
C.  Burpsuite
D.  Proxychains
",C,A.  Maskgen,A,False
84,"A ""Server-Side Includes"" attack refers to the exploitation of a web application by injecting scripts in HTML
pages or executing arbitrary code remotely.
Which web-page file type, if it exists on the web server, is a strong indication that the server is vulnerable to
this kind of attack?
A.  .stm
B.  .html
C.  .rss
D.  .cms
",A,The answer is (B,N/A,False
85,"You have compromised a server on a network and successfully opened a shell. You aimed to identify all
operating systems running on the network. However, as you attempt to fingerprint all machines in the network
using the nmap syntax below, it is not going through.
invictus@victim_server.~$ nmap -T4 -O 10.10.0.0/24 TCP/IP fingerprinting (for OS scan) xxxxxxx xxxxxx
xxxxxxxxx. QUITTING!
What seems to be wrong?
A.  The nmap syntax is wrong.
B.  This is a common behavior for a corrupted nmap application.
C.  The outgoing TCP/IP fingerprinting is blocked by the host firewall.
D.  OS Scan requires root privileges.
",D,The syntax is correct.,N/A,False
